theorem	wm_selections	thvm_picks	wm_cps	match	note
BooleanAxioms__DeMorgan__c1	2105	2105	20843	MATCH	
BooleanAxioms__ImpliesRobbinsAxioms__c3	2082	2082	20524	MATCH	
BooleanAxioms__ImpliesHuntingtonAxioms__c3	2082	2082	20524	MATCH	
BooleanAxioms__DeMorgan__c2	2208	2208	20482	MATCH	
BooleanAxioms__ImpliesRobbinsAxioms__c2	1250	1250	11533	MATCH	
BooleanAxioms__ImpliesHuntingtonAxioms__c2	1250	1250	11533	MATCH	
CommutativeRingWithIdentityAxioms__MinusOneYieldsInverse	576	576	2812	MATCH	
CommutativeRingAxioms__ZeroIsAbsorbing	547	547	2523	MATCH	
CommutativeRingWithIdentityAxioms__ZeroIsAbsorbing	503	503	2428	MATCH	
RingWithIdentityAxioms__ZeroIsAbsorbing	462	462	2141	MATCH	
HillmanAxioms__Commutativity	182	182	2119	MATCH	
RingAxioms__ZeroIsAbsorbing	447	447	1960	MATCH	
McCuneAxioms__EqualityOfInverses	156	156	1943	MATCH	
McCuneAxioms__InverseOfComposite	130	130	1843	MATCH	
McCuneAxioms__InverseOfInverse	118	118	1695	MATCH	
HuntingtonAxioms__ImpliesRobbinsAxioms__c3	220	220	1597	MATCH	
HuntingtonAxioms__DoubleNegation	215	215	1555	MATCH	
BooleanAxioms__Absorption	186	186	1074	MATCH	
AbelianMcCuneAxioms__ImpliesMcCuneAxioms	192	192	1033	MATCH	
BooleanAxioms__AbsorptionOrAnd	189	189	1016	MATCH	
CombinatorAxioms__BCKWToSKI__c2	109	109	636	MATCH	
BooleanAxioms__Noncontradiction	65	65	421	MATCH	
AbelianTarskiAxioms__Commutativity	52	52	410	MATCH	
BooleanAxioms__ExcludedMiddle	63	63	409	MATCH	
AbelianGroupAxioms__ImpliesMcCuneAxioms	91	91	367	MATCH	
HigmanNeumannAxioms__LeftIdentity	13	13	251	MATCH	
HigmanNeumannAxioms__EqualityOfIdentities	13	13	251	MATCH	
AbelianMcCuneAxioms__InverseOfComposite	26	26	233	MATCH	
GroupAxioms__ImpliesMcCuneAxioms	33	33	224	MATCH	
BooleanAxioms__Transposition	36	36	222	MATCH	
BooleanAxioms__DoubleNegation	36	36	222	MATCH	
AbelianMcCuneAxioms__Commutativity	15	15	190	MATCH	
HigmanNeumannAxioms__RightIdentity	11	11	186	MATCH	
AbelianMcCuneAxioms__InverseOfInverse	10	10	114	MATCH	
GroupAxioms__InverseOfComposite	18	18	95	MATCH	
BooleanAxioms__AndIdempotence	16	16	94	MATCH	
AbelianGroupAxioms__InverseOfComposite	22	22	87	MATCH	
BooleanAxioms__OrIdempotence	15	15	82	MATCH	
AbelianGroupAxioms__ImpliesAbelianMcCuneAxioms	21	21	70	MATCH	
CombinatorAxioms__SKIToBCKW__c3	9	9	69	MATCH	
MeredithAxioms__Commutativity	6	6	57	MATCH	
GroupAxioms__LeftInverse	12	12	48	MATCH	
GroupAxioms__InverseOfInverse	10	10	41	MATCH	
BooleanAxioms__NegationRedundancy	9	9	40	MATCH	
GroupAxioms__LeftIdentity	9	9	34	MATCH	
AbelianTarskiAxioms__ImpliesHigmanNeumannAxioms	5	5	34	MATCH	
CombinatorAxioms__BCKWToSKI__c3	7	7	32	MATCH	
CombinatorAxioms__BCKWToSKI__c1	7	7	32	MATCH	
AbelianGroupAxioms__InverseOfInverse	9	9	26	MATCH	
BooleanAxioms__OrCommutativity	6	6	21	MATCH	
BooleanAxioms__ImpliesRobbinsAxioms__c1	6	6	21	MATCH	
BooleanAxioms__ImpliesHuntingtonAxioms__c1	6	6	21	MATCH	
BooleanAxioms__AndCommutativity	6	6	21	MATCH	
BooleanAxioms__OrDistributivity	5	5	13	MATCH	
BooleanAxioms__AndDistributivity	5	5	13	MATCH	
HuntingtonAxioms__ImpliesRobbinsAxioms__c2	3	3	8	MATCH	
BooleanAxioms__DroppingAlwaysTrue	1	1	6	MATCH	
BooleanAxioms__DroppingAlwaysFalse	1	1	6	MATCH	
HuntingtonAxioms__ImpliesRobbinsAxioms__c1	2	2	5	MATCH	
