theory	thm	status	seconds	proofLength	verifies
AbelianGroupAxioms	ImpliesAbelianMcCuneAxioms	PROVED	0.03	-	Success
AbelianGroupAxioms	ImpliesMcCuneAxioms	PROVED	0.02	-	Success
AbelianGroupAxioms	InverseOfComposite	PROVED	0.01	-	Success
AbelianGroupAxioms	InverseOfInverse	PROVED	0.01	-	Success
AbelianMcCuneAxioms	Associativity	PROVED	0.45	-	Success
AbelianMcCuneAxioms	Commutativity	PROVED	0.05	-	Success
AbelianMcCuneAxioms	ImpliesMcCuneAxioms	PROVED	0.1	-	Success
AbelianMcCuneAxioms	InverseOfComposite	PROVED	0.06	-	Success
AbelianMcCuneAxioms	InverseOfInverse	PROVED	0.02	-	Success
AbelianTarskiAxioms	Associativity	PROVED	0.02	-	Success
AbelianTarskiAxioms	Commutativity	PROVED	0.03	-	Success
AbelianTarskiAxioms	ImpliesHigmanNeumannAxioms	PROVED	0.01	-	Success
BooleanAxioms	Absorption	PROVED	0.04	-	Success
BooleanAxioms	AbsorptionOrAnd	PROVED	0.04	-	Success
BooleanAxioms	AndAssociativity	PROVED	0.11	-	Success
BooleanAxioms	AndCommutativity	PROVED	0.01	-	Success
BooleanAxioms	AndDistributivity	PROVED	0.01	-	Success
BooleanAxioms	AndIdempotence	PROVED	0.01	-	Success
BooleanAxioms	AndPreAssociativity	PROVED	0.03	-	Success
BooleanAxioms	DeMorgan	PROVED	1.12	4	Success
BooleanAxioms	DoubleNegation	PROVED	0.02	-	Success
BooleanAxioms	DroppingAlwaysFalse	PROVED	0.01	-	Success
BooleanAxioms	DroppingAlwaysTrue	PROVED	0.01	-	Success
BooleanAxioms	ExcludedMiddle	PROVED	24.05	-	Success
BooleanAxioms	ImpliesHuntingtonAxioms	PROVED	0.66	6	Success
BooleanAxioms	ImpliesRobbinsAxioms	PROVED	0.66	6	Success
BooleanAxioms	NegationRedundancy	PROVED	0.01	-	Success
BooleanAxioms	Noncontradiction	PROVED	24.14	-	Success
BooleanAxioms	OrAssociativity	PROVED	0.15	-	Success
BooleanAxioms	OrCommutativity	PROVED	0.01	-	Success
BooleanAxioms	OrDistributivity	PROVED	0.01	-	Success
BooleanAxioms	OrIdempotence	PROVED	0.01	-	Success
BooleanAxioms	Transposition	PROVED	0.02	-	Success
CombinatorAxioms	BCKWToSKI	PROVED	0.04	6	Success
CombinatorAxioms	SKIToBCKW	PROVED	10.3	6	Success
CommutativeRingAxioms	ZeroIsAbsorbing	PROVED	0.03	-	Success
CommutativeRingWithIdentityAxioms	MinusOneYieldsInverse	PROVED	0.06	-	Success
CommutativeRingWithIdentityAxioms	ZeroIsAbsorbing	PROVED	0.03	-	Success
GroupAxioms	ImpliesMcCuneAxioms	PROVED	0.15	-	Success
GroupAxioms	InverseOfComposite	PROVED	0.03	-	Success
GroupAxioms	InverseOfInverse	PROVED	0.01	-	Success
GroupAxioms	LeftIdentity	PROVED	0.01	-	Success
GroupAxioms	LeftInverse	PROVED	0.01	-	Success
HigmanNeumannAxioms	Associativity	PROVED	0.17	-	Success
HigmanNeumannAxioms	EqualityOfIdentities	PROVED	0.12	-	Success
HigmanNeumannAxioms	LeftIdentity	PROVED	0.12	-	Success
HigmanNeumannAxioms	RightIdentity	PROVED	0.12	-	Success
HillmanAxioms	AndAssociativity	PROVED	0.07	-	Success
HillmanAxioms	Commutativity	PROVED	0.06	-	Success
HillmanAxioms	ImpliesMeredithAxioms	PROVED	23.36	4	Success
HillmanAxioms	ImpliesShefferAxioms	Failed	30.45	-	-
HillmanAxioms	ImpliesWolframAlternateAxioms	PROVED	0.08	-	Success
HillmanAxioms	ImpliesWolframAxioms	PROVED	0.09	-	Success
HillmanAxioms	ImpliesWolframCommutativeAxioms	PROVED	0.14	4	Success
HillmanAxioms	OrAssociativity	PROVED	0.07	-	Success
HuntingtonAxioms	DoubleNegation	PROVED	0.91	-	Success
HuntingtonAxioms	ImpliesRobbinsAxioms	PROVED	0.95	6	Success
McCuneAxioms	Associativity	PROVED	0.88	-	Success
McCuneAxioms	EqualityOfInverses	Failed	30.27	-	-
McCuneAxioms	InverseOfComposite	PROVED	0.63	-	Success
McCuneAxioms	InverseOfInverse	PROVED	0.58	-	Success
MeredithAxioms	AndAssociativity	PROVED	1.41	-	Success
MeredithAxioms	Commutativity	PROVED	0.01	-	Success
MeredithAxioms	ImpliesHillmanAxioms	PROVED	1.47	6	Success
MeredithAxioms	ImpliesShefferAxioms	Failed	30.12	-	-
MeredithAxioms	ImpliesWolframAlternateAxioms	PROVED	0.15	-	Success
MeredithAxioms	ImpliesWolframAxioms	PROVED	0.15	-	Success
MeredithAxioms	ImpliesWolframCommutativeAxioms	PROVED	0.16	4	Success
MeredithAxioms	OrAssociativity	PROVED	1.35	-	Success
RingAxioms	ZeroIsAbsorbing	PROVED	0.1	-	Success
RingWithIdentityAxioms	ZeroIsAbsorbing	PROVED	0.04	-	Success
RobbinsAxioms	DoubleNegation	Failed	30.24	-	-
WolframCommutativeAxioms	AndAssociativity	Failed	30.23	-	-
WolframCommutativeAxioms	Commutativity	PROVED	0.01	-	Success
WolframCommutativeAxioms	DoubleNegation	PROVED	0.01	-	Success
WolframCommutativeAxioms	ImpliesHillmanAxioms	Failed	30.25	-	-
WolframCommutativeAxioms	ImpliesMeredithAxioms	Failed	30.26	-	-
WolframCommutativeAxioms	ImpliesShefferAxioms	Failed	30.65	-	-
WolframCommutativeAxioms	ImpliesWolframAlternateAxioms	PROVED	0.01	-	Success
WolframCommutativeAxioms	ImpliesWolframAxioms	PROVED	0.01	-	Success
WolframCommutativeAxioms	OrAssociativity	Failed	30.12	-	-
