theory	thm	conjunct	status	seconds	proofLength	verifies
HillmanAxioms	ImpliesShefferAxioms	1/3	PROVED	0.01	5	Success
HillmanAxioms	ImpliesShefferAxioms	2/3	PROVED	0.23	52	Success
HillmanAxioms	ImpliesShefferAxioms	3/3	Failed	30.22	-	-
McCuneAxioms	EqualityOfInverses	1/1	Failed	30.29	-	-
MeredithAxioms	ImpliesShefferAxioms	1/3	PROVED	0.01	4	Success
MeredithAxioms	ImpliesShefferAxioms	2/3	PROVED	0.03	18	Success
MeredithAxioms	ImpliesShefferAxioms	3/3	Failed	30.11	-	-
RobbinsAxioms	DoubleNegation	1/1	Failed	30.36	-	-
ShefferAxioms	AndAssociativity	1/1	Failed	30.36	-	-
ShefferAxioms	ImpliesHillmanAxioms	1/3	PROVED	0.01	5	Success
ShefferAxioms	ImpliesHillmanAxioms	2/3	PROVED	23.51	28	Success
ShefferAxioms	ImpliesHillmanAxioms	3/3	Failed	30.92	-	-
ShefferAxioms	ImpliesMeredithAxioms	1/2	TimedOut	41.05	-	-
ShefferAxioms	ImpliesMeredithAxioms	2/2	PROVED	15.58	54	Success
ShefferAxioms	OrAssociativity	1/1	Failed	31.	-	-
WolframAlternateAxioms	AndAssociativity	1/1	Failed	30.14	-	-
WolframAlternateAxioms	ImpliesHillmanAxioms	1/3	PROVED	0.06	33	Success
WolframAlternateAxioms	ImpliesHillmanAxioms	2/3	PROVED	0.1	45	Success
WolframAlternateAxioms	ImpliesHillmanAxioms	3/3	Failed	30.26	-	-
WolframAlternateAxioms	ImpliesMeredithAxioms	1/2	Failed	30.25	-	-
WolframAlternateAxioms	ImpliesMeredithAxioms	2/2	PROVED	0.04	19	Success
WolframAlternateAxioms	ImpliesShefferAxioms	1/3	PROVED	0.03	14	Success
WolframAlternateAxioms	ImpliesShefferAxioms	2/3	PROVED	0.3	75	Success
WolframAlternateAxioms	ImpliesShefferAxioms	3/3	Failed	30.22	-	-
WolframAlternateAxioms	OrAssociativity	1/1	Failed	30.1	-	-
WolframAxioms	AndAssociativity	1/1	Failed	30.31	-	-
WolframAxioms	ImpliesHillmanAxioms	1/3	CRASH	-	-	-
WolframAxioms	ImpliesHillmanAxioms	2/3	PROVED	2.38	111	Success
WolframAxioms	ImpliesHillmanAxioms	3/3	Failed	30.31	-	-
WolframAxioms	ImpliesMeredithAxioms	1/2	Failed	30.3	-	-
WolframAxioms	ImpliesMeredithAxioms	2/2	CRASH	-	-	-
WolframAxioms	ImpliesShefferAxioms	1/3	PROVED	1.49	28	Success
WolframAxioms	ImpliesShefferAxioms	2/3	PROVED	5.87	135	Success
WolframAxioms	ImpliesShefferAxioms	3/3	Failed	30.28	-	-
WolframAxioms	OrAssociativity	1/1	Failed	30.28	-	-
WolframCommutativeAxioms	AndAssociativity	1/1	Failed	30.26	-	-
WolframCommutativeAxioms	ImpliesMeredithAxioms	1/2	Failed	30.24	-	-
WolframCommutativeAxioms	ImpliesMeredithAxioms	2/2	PROVED	0.01	9	Success
WolframCommutativeAxioms	ImpliesShefferAxioms	1/3	PROVED	0.01	8	Success
WolframCommutativeAxioms	ImpliesShefferAxioms	2/3	PROVED	0.38	43	Success
WolframCommutativeAxioms	ImpliesShefferAxioms	3/3	Failed	30.24	-	-
WolframCommutativeAxioms	OrAssociativity	1/1	Failed	30.15	-	-
