theory	thm	status	seconds	proofLength	verifies
AbelianGroupAxioms	ImpliesAbelianMcCuneAxioms	PROVED	0.03	27	Success
AbelianGroupAxioms	ImpliesMcCuneAxioms	PROVED	0.03	24	Success
AbelianGroupAxioms	InverseOfComposite	PROVED	0.02	14	Success
AbelianGroupAxioms	InverseOfInverse	PROVED	0.02	11	Success
AbelianMcCuneAxioms	Associativity	PROVED	0.41	49	Success
AbelianMcCuneAxioms	Commutativity	PROVED	0.18	20	Success
AbelianMcCuneAxioms	ImpliesMcCuneAxioms	PROVED	0.22	39	Success
AbelianMcCuneAxioms	InverseOfComposite	PROVED	0.18	22	Success
AbelianMcCuneAxioms	InverseOfInverse	PROVED	0.03	13	Success
AbelianTarskiAxioms	Associativity	PROVED	0.02	13	Success
AbelianTarskiAxioms	Commutativity	PROVED	0.03	17	Success
AbelianTarskiAxioms	ImpliesHigmanNeumannAxioms	PROVED	0.02	9	Success
BooleanAxioms	Absorption	PROVED	0.05	30	Success
BooleanAxioms	AbsorptionOrAnd	PROVED	0.04	31	Success
BooleanAxioms	AndAssociativity	PROVED	0.12	70	Success
BooleanAxioms	AndCommutativity	PROVED	0.01	8	Success
BooleanAxioms	AndDistributivity	PROVED	0.01	8	Success
BooleanAxioms	AndIdempotence	PROVED	0.02	10	Success
BooleanAxioms	AndPreAssociativity	PROVED	0.03	24	Success
BooleanAxioms	DeMorgan	PROVED	1.20	299	Success
BooleanAxioms	DoubleNegation	PROVED	0.03	19	Success
BooleanAxioms	DroppingAlwaysFalse	PROVED	0.01	8	Success
BooleanAxioms	DroppingAlwaysTrue	PROVED	0.01	8	Success
BooleanAxioms	ExcludedMiddle	PROVED	25.27	252	Success
BooleanAxioms	ImpliesHuntingtonAxioms	PROVED	0.75	222	Success
BooleanAxioms	ImpliesRobbinsAxioms	PROVED	0.74	216	Success
BooleanAxioms	NegationRedundancy	PROVED	0.02	10	Success
BooleanAxioms	Noncontradiction	PROVED	24.25	363	Success
BooleanAxioms	OrAssociativity	PROVED	0.14	57	Success
BooleanAxioms	OrCommutativity	PROVED	0.01	8	Success
BooleanAxioms	OrDistributivity	PROVED	0.02	8	Success
BooleanAxioms	OrIdempotence	PROVED	0.02	10	Success
BooleanAxioms	Transposition	PROVED	0.03	20	Success
CombinatorAxioms	BCKWToSKI	PROVED	0.07	42	Success
CombinatorAxioms	SKIToBCKW	PROVED	10.48	43	Success
CommutativeRingAxioms	ZeroIsAbsorbing	PROVED	0.04	19	Success
CommutativeRingWithIdentityAxioms	MinusOneYieldsInverse	PROVED	0.06	43	Success
CommutativeRingWithIdentityAxioms	ZeroIsAbsorbing	PROVED	0.03	22	Success
GroupAxioms	ImpliesMcCuneAxioms	PROVED	0.17	31	Success
GroupAxioms	InverseOfComposite	PROVED	0.02	20	Success
GroupAxioms	InverseOfInverse	PROVED	0.02	13	Success
GroupAxioms	LeftIdentity	PROVED	0.02	11	Success
GroupAxioms	LeftInverse	PROVED	0.02	14	Success
HigmanNeumannAxioms	Associativity	PROVED	0.20	79	Success
HigmanNeumannAxioms	EqualityOfIdentities	PROVED	0.15	42	Success
HigmanNeumannAxioms	LeftIdentity	PROVED	0.13	41	Success
HigmanNeumannAxioms	RightIdentity	PROVED	0.12	37	Success
HillmanAxioms	AndAssociativity	PROVED	0.08	65	Success
HillmanAxioms	Commutativity	PROVED	0.07	56	Success
HillmanAxioms	ImpliesMeredithAxioms	PROVED	23.59	125	Success
HillmanAxioms	ImpliesShefferAxioms	Partial(2/3)	30.44	57	PartialSuccess
HillmanAxioms	ImpliesWolframAlternateAxioms	PROVED	0.09	67	Success
HillmanAxioms	ImpliesWolframAxioms	PROVED	0.09	67	Success
HillmanAxioms	ImpliesWolframCommutativeAxioms	PROVED	0.15	118	Success
HillmanAxioms	OrAssociativity	PROVED	0.07	60	Success
HuntingtonAxioms	DoubleNegation	PROVED	0.85	33	Success
HuntingtonAxioms	ImpliesRobbinsAxioms	PROVED	0.87	46	Success
McCuneAxioms	Associativity	PROVED	0.85	52	Success
McCuneAxioms	EqualityOfInverses	Failed	30.08	-	-
McCuneAxioms	InverseOfComposite	PROVED	0.69	44	Success
McCuneAxioms	InverseOfInverse	PROVED	0.67	41	Success
MeredithAxioms	AndAssociativity	PROVED	1.09	149	Success
MeredithAxioms	Commutativity	PROVED	0.02	10	Success
MeredithAxioms	ImpliesHillmanAxioms	PROVED	1.13	181	Success
MeredithAxioms	ImpliesShefferAxioms	Partial(2/3)	30.14	22	PartialSuccess
