theory	thm	conjunct	status	seconds	proofLength
HillmanAxioms	ImpliesShefferAxioms	3/3	Failed	30.57	-
McCuneAxioms	EqualityOfInverses	1/1	Failed	30.49	-
MeredithAxioms	ImpliesShefferAxioms	3/3	Failed	30.42	-
RobbinsAxioms	DoubleNegation	1/1	Failed	30.37	-
ShefferAxioms	AndAssociativity	1/1	Failed	30.71	-
ShefferAxioms	ImpliesHillmanAxioms	3/3	Failed	30.58	-
ShefferAxioms	ImpliesMeredithAxioms	1/2	TimedOut	41.94	-
ShefferAxioms	ImpliesWolframAlternateAxioms	1/1	Failed	30.31	-
ShefferAxioms	ImpliesWolframAxioms	1/1	Failed	30.55	-
ShefferAxioms	OrAssociativity	1/1	Failed	31.89	-
WolframAlternateAxioms	AndAssociativity	1/1	Failed	31.15	-
WolframAlternateAxioms	ImpliesHillmanAxioms	3/3	Failed	30.51	-
WolframAlternateAxioms	ImpliesMeredithAxioms	1/2	Failed	33.29	-
WolframAlternateAxioms	ImpliesShefferAxioms	3/3	Failed	32.76	-
WolframAlternateAxioms	OrAssociativity	1/1	Failed	34.84	-
WolframAxioms	AndAssociativity	1/1	Failed	34.13	-
WolframAxioms	ImpliesHillmanAxioms	1/3	PROVED	1.87	157
WolframAxioms	ImpliesHillmanAxioms	3/3	Failed	31.26	-
WolframAxioms	ImpliesMeredithAxioms	1/2	Failed	36.75	-
WolframAxioms	ImpliesMeredithAxioms	2/2	PROVED	1.62	145
WolframAxioms	ImpliesShefferAxioms	3/3	Failed	31.28	-
WolframAxioms	ImpliesWolframAlternateAxioms	1/1	PROVED	3.02	189
WolframAxioms	ImpliesWolframCommutativeAxioms	1/2	PROVED	5.96	180
WolframAxioms	OrAssociativity	1/1	Failed	31.11	-
WolframCommutativeAxioms	AndAssociativity	1/1	TimedOut	42.47	-
WolframCommutativeAxioms	ImpliesHillmanAxioms	3/3	Failed	30.5	-
WolframCommutativeAxioms	ImpliesMeredithAxioms	1/2	Failed	31.02	-
WolframCommutativeAxioms	ImpliesShefferAxioms	3/3	Failed	31.04	-
WolframCommutativeAxioms	OrAssociativity	1/1	Failed	30.7	-
