theory	thm	status	seconds	proofLength	verifies
HillmanAxioms	ImpliesShefferAxioms	Partial(2/3)	30.46	57	PartialSuccess
McCuneAxioms	EqualityOfInverses	Failed	30.29	-	-
MeredithAxioms	ImpliesShefferAxioms	Partial(2/3)	30.15	22	PartialSuccess
RobbinsAxioms	DoubleNegation	Failed	30.36	-	-
ShefferAxioms	AndAssociativity	Failed	30.36	-	-
ShefferAxioms	ImpliesHillmanAxioms	Partial(2/3)	54.44	33	PartialSuccess
ShefferAxioms	ImpliesMeredithAxioms	Partial(1/2)	56.63	54	PartialSuccess
ShefferAxioms	OrAssociativity	Failed	31.00	-	-
WolframAlternateAxioms	AndAssociativity	Failed	30.14	-	-
WolframAlternateAxioms	ImpliesHillmanAxioms	Partial(2/3)	30.42	78	PartialSuccess
WolframAlternateAxioms	ImpliesMeredithAxioms	Partial(1/2)	30.29	19	PartialSuccess
WolframAlternateAxioms	ImpliesShefferAxioms	Partial(2/3)	30.55	89	PartialSuccess
WolframAlternateAxioms	OrAssociativity	Failed	30.10	-	-
WolframAxioms	AndAssociativity	Failed	30.31	-	-
WolframAxioms	ImpliesHillmanAxioms	Partial(1/3)	32.69	111	PartialSuccess
WolframAxioms	ImpliesMeredithAxioms	CRASH	30.30	-	-
WolframAxioms	ImpliesShefferAxioms	Partial(2/3)	37.64	163	PartialSuccess
WolframAxioms	OrAssociativity	Failed	30.28	-	-
WolframCommutativeAxioms	AndAssociativity	Failed	30.26	-	-
WolframCommutativeAxioms	ImpliesMeredithAxioms	Partial(1/2)	30.25	9	PartialSuccess
WolframCommutativeAxioms	ImpliesShefferAxioms	Partial(2/3)	30.63	51	PartialSuccess
WolframCommutativeAxioms	OrAssociativity	Failed	30.15	-	-
