theorem	cp_count	wm_selections	thvm_picks	thvm_s	wm_s	thvm_status
BooleanAxioms__DeMorgan__c1	20843	2105	2105	0.1477	0.010	PROVED
BooleanAxioms__ImpliesRobbinsAxioms__c3	20524	2082	2082	0.1479	0.010	PROVED
BooleanAxioms__ImpliesHuntingtonAxioms__c3	20524	2082	2082	0.1545	0.010	PROVED
BooleanAxioms__DeMorgan__c2	20482	2208	2208	0.1490	0.010	PROVED
BooleanAxioms__ImpliesRobbinsAxioms__c2	11533	1250	1250	0.0861	0.006	PROVED
BooleanAxioms__ImpliesHuntingtonAxioms__c2	11533	1250	1250	0.0850	0.006	PROVED
CommutativeRingWithIdentityAxioms__MinusOneYieldsInverse	2812	576	576	0.0249	0.003	PROVED
CommutativeRingAxioms__ZeroIsAbsorbing	2523	547	547	0.0222	0.003	PROVED
CommutativeRingWithIdentityAxioms__ZeroIsAbsorbing	2428	503	503	0.0214	0.002	PROVED
RingWithIdentityAxioms__ZeroIsAbsorbing	2141	462	462	0.0189	0.002	PROVED
HillmanAxioms__Commutativity	2119	182	182	0.0156	0.002	PROVED
RingAxioms__ZeroIsAbsorbing	1960	447	447	0.0175	0.002	PROVED
McCuneAxioms__EqualityOfInverses	1943	156	156	0.0169	0.002	PROVED
McCuneAxioms__InverseOfComposite	1843	130	130	0.0162	0.002	PROVED
McCuneAxioms__InverseOfInverse	1695	118	118	0.0157	0.002	PROVED
HuntingtonAxioms__ImpliesRobbinsAxioms__c3	1597	220	220	0.0206	0.002	PROVED
HuntingtonAxioms__DoubleNegation	1555	215	215	0.0186	0.002	PROVED
BooleanAxioms__Absorption	1074	186	186	0.0107	0.001	PROVED
AbelianMcCuneAxioms__ImpliesMcCuneAxioms	1033	192	192	0.0115	0.001	PROVED
BooleanAxioms__AbsorptionOrAnd	1016	189	189	0.0102	0.001	PROVED
