theory	thm	wm_cps	thvm_waldmeister_s	thvm_proved	wm_raw_wall_s	winner
CombinatorAxioms	SKIToBCKW	2265457	31.3560	False	12.5680	thvm_TIMEOUT(30s)
WolframAxioms	Commutativity	738928	4.8019	True	2.3520	wmcli
WolframAxioms	DoubleNegation	713503	3.9450	True	2.3190	wmcli
MeredithAxioms	OrAssociativity	603793	31.4858	False	0.5250	thvm_TIMEOUT(30s)
MeredithAxioms	AndAssociativity	603793	31.4346	False	0.5250	thvm_TIMEOUT(30s)
BooleanAxioms	DeMorgan	41325	0.3885	True	0.0200	wmcli
BooleanAxioms	ImpliesRobbinsAxioms	32078	0.3726	True	0.0160	wmcli
BooleanAxioms	ImpliesHuntingtonAxioms	32078	0.3809	True	0.0160	wmcli
BooleanAxioms	OrAssociativity	11533	0.2034	True	0.0060	wmcli
BooleanAxioms	AndAssociativity	11491	0.2103	True	0.0060	wmcli
CommutativeRingWithIdentityAxioms	MinusOneYieldsInverse	2812	0.0947	True	0.0030	wmcli
CommutativeRingAxioms	ZeroIsAbsorbing	2523	0.0849	True	0.0030	wmcli
CommutativeRingWithIdentityAxioms	ZeroIsAbsorbing	2428	0.0769	True	0.0020	wmcli
McCuneAxioms	Associativity	2202	0.2340	True	0.0020	wmcli
RingWithIdentityAxioms	ZeroIsAbsorbing	2141	0.0738	True	0.0020	wmcli
HillmanAxioms	Commutativity	2119	0.0591	True	0.0020	wmcli
RingAxioms	ZeroIsAbsorbing	1960	0.0718	True	0.0020	wmcli
McCuneAxioms	InverseOfComposite	1843	0.2212	True	0.0020	wmcli
AbelianMcCuneAxioms	Associativity	1738	0.0679	True	0.0020	wmcli
McCuneAxioms	InverseOfInverse	1695	0.2099	True	0.0020	wmcli
