theory	thm	conjunct	status	seconds	winningStrategy	proofClauses
AbelianGroupAxioms	ImpliesAbelianMcCuneAxioms	1	PROVED	0.03	portfolio	-
AbelianGroupAxioms	ImpliesMcCuneAxioms	1	PROVED	0.02	portfolio	-
AbelianGroupAxioms	InverseOfComposite	1	PROVED	0.02	portfolio	-
AbelianGroupAxioms	InverseOfInverse	1	PROVED	0.01	portfolio	-
AbelianMcCuneAxioms	Associativity	1	PROVED	0.11	portfolio	-
AbelianMcCuneAxioms	Commutativity	1	PROVED	0.02	portfolio	-
AbelianMcCuneAxioms	ImpliesMcCuneAxioms	1	PROVED	0.02	portfolio	-
AbelianMcCuneAxioms	InverseOfComposite	1	PROVED	0.02	portfolio	-
AbelianMcCuneAxioms	InverseOfInverse	1	PROVED	0.02	portfolio	-
AbelianTarskiAxioms	Associativity	1	PROVED	0.02	portfolio	-
AbelianTarskiAxioms	Commutativity	1	PROVED	0.02	portfolio	-
AbelianTarskiAxioms	ImpliesHigmanNeumannAxioms	1	PROVED	0.01	portfolio	-
BooleanAxioms	Absorption	1	PROVED	0.03	portfolio	-
BooleanAxioms	AbsorptionOrAnd	1	PROVED	0.03	portfolio	-
BooleanAxioms	AndAssociativity	1	PROVED	1.00	portfolio	-
BooleanAxioms	AndCommutativity	1	PROVED	0.01	portfolio	-
BooleanAxioms	AndDistributivity	1	PROVED	0.01	portfolio	-
BooleanAxioms	AndIdempotence	1	PROVED	0.01	portfolio	-
BooleanAxioms	AndPreAssociativity	1	PROVED	0.03	portfolio	-
BooleanAxioms	DeMorgan	1	PROVED	0.62	portfolio	-
BooleanAxioms	DeMorgan	2	PROVED	0.62	portfolio	-
BooleanAxioms	DoubleNegation	1	PROVED	0.04	portfolio	-
BooleanAxioms	DroppingAlwaysFalse	1	PROVED	0.01	portfolio	-
BooleanAxioms	DroppingAlwaysTrue	1	PROVED	0.01	portfolio	-
BooleanAxioms	ExcludedMiddle	1	PROVED	0.02	portfolio	-
BooleanAxioms	ImpliesHuntingtonAxioms	1	PROVED	0.01	portfolio	-
BooleanAxioms	ImpliesHuntingtonAxioms	2	PROVED	0.58	portfolio	-
BooleanAxioms	ImpliesHuntingtonAxioms	3	PROVED	0.62	portfolio	-
BooleanAxioms	ImpliesRobbinsAxioms	1	PROVED	0.01	portfolio	-
BooleanAxioms	ImpliesRobbinsAxioms	2	PROVED	1.01	portfolio	-
BooleanAxioms	ImpliesRobbinsAxioms	3	PROVED	0.65	portfolio	-
BooleanAxioms	NegationRedundancy	1	PROVED	0.02	portfolio	-
BooleanAxioms	Noncontradiction	1	PROVED	0.02	portfolio	-
BooleanAxioms	OrAssociativity	1	PROVED	1.07	portfolio	-
BooleanAxioms	OrCommutativity	1	PROVED	0.01	portfolio	-
BooleanAxioms	OrDistributivity	1	PROVED	0.01	portfolio	-
BooleanAxioms	OrIdempotence	1	PROVED	0.01	portfolio	-
BooleanAxioms	Transposition	1	PROVED	0.03	portfolio	-
CombinatorAxioms	BCKWToSKI	1	PROVED	0.01	portfolio	-
CombinatorAxioms	BCKWToSKI	2	PROVED	0.03	portfolio	-
CombinatorAxioms	BCKWToSKI	3	PROVED	0.01	portfolio	-
CombinatorAxioms	SKIToBCKW	1	PROVED	0.03	portfolio	-
