theory	thm	status	seconds	proofLength	verifies
AbelianGroupAxioms	ImpliesAbelianMcCuneAxioms	PROVED	0.22	10	Success
AbelianGroupAxioms	ImpliesMcCuneAxioms	PROVED	0.21	26	Success
AbelianGroupAxioms	InverseOfComposite	PROVED	0.2	17	Success
AbelianGroupAxioms	InverseOfInverse	PROVED	0.2	11	Success
AbelianMcCuneAxioms	Associativity	PROVED	0.21	34	Success
AbelianMcCuneAxioms	Commutativity	PROVED	0.21	20	Success
AbelianMcCuneAxioms	ImpliesMcCuneAxioms	PROVED	0.21	43	Success
AbelianMcCuneAxioms	InverseOfComposite	PROVED	0.2	22	Success
AbelianMcCuneAxioms	InverseOfInverse	PROVED	0.2	13	Success
AbelianTarskiAxioms	Associativity	PROVED	0.2	15	Success
AbelianTarskiAxioms	Commutativity	PROVED	0.19	9	Success
AbelianTarskiAxioms	ImpliesHigmanNeumannAxioms	PROVED	0.19	10	Success
BooleanAxioms	Absorption	PROVED	0.22	31	Success
BooleanAxioms	AbsorptionOrAnd	PROVED	0.2	31	Success
BooleanAxioms	AndAssociativity	PROVED	0.21	50	Success
BooleanAxioms	AndCommutativity	PROVED	0.21	3	Success
BooleanAxioms	AndDistributivity	PROVED	0.2	3	Success
BooleanAxioms	AndIdempotence	PROVED	0.2	7	Success
BooleanAxioms	AndPreAssociativity	PROVED	0.2	22	Success
BooleanAxioms	DeMorgan	PROVED	0.27	76	Success
BooleanAxioms	DoubleNegation	PROVED	0.21	19	Success
BooleanAxioms	DroppingAlwaysFalse	PROVED	0.2	3	Success
BooleanAxioms	DroppingAlwaysTrue	PROVED	0.21	3	Success
BooleanAxioms	ExcludedMiddle	PROVED	0.19	9	Success
BooleanAxioms	ImpliesHuntingtonAxioms	PROVED	0.25	109	Success
BooleanAxioms	ImpliesRobbinsAxioms	PROVED	0.26	105	Success
BooleanAxioms	NegationRedundancy	PROVED	0.19	7	Success
BooleanAxioms	Noncontradiction	PROVED	0.21	9	Success
BooleanAxioms	OrAssociativity	PROVED	0.21	50	Success
BooleanAxioms	OrCommutativity	PROVED	0.19	3	Success
BooleanAxioms	OrDistributivity	PROVED	0.19	3	Success
BooleanAxioms	OrIdempotence	PROVED	0.19	7	Success
BooleanAxioms	Transposition	PROVED	0.2	20	Success
CombinatorAxioms	BCKWToSKI	PROVED	0.21	29	Success
CombinatorAxioms	SKIToBCKW	PROVED	0.2	27	Success
CommutativeRingAxioms	ZeroIsAbsorbing	PROVED	0.2	23	Success
CommutativeRingWithIdentityAxioms	MinusOneYieldsInverse	PROVED	0.2	33	Success
CommutativeRingWithIdentityAxioms	ZeroIsAbsorbing	PROVED	0.2	23	Success
GroupAxioms	ImpliesMcCuneAxioms	PROVED	0.2	29	Success
GroupAxioms	InverseOfComposite	PROVED	0.2	19	Success
GroupAxioms	InverseOfInverse	PROVED	0.19	13	Success
GroupAxioms	LeftIdentity	PROVED	0.2	11	Success
GroupAxioms	LeftInverse	PROVED	0.21	14	Success
HigmanNeumannAxioms	Associativity	PROVED	0.2	37	Success
HigmanNeumannAxioms	EqualityOfIdentities	PROVED	0.19	15	Success
HigmanNeumannAxioms	LeftIdentity	PROVED	0.2	14	Success
HigmanNeumannAxioms	RightIdentity	PROVED	0.2	9	Success
HillmanAxioms	AndAssociativity	PROVED	0.23	46	Success
HillmanAxioms	Commutativity	PROVED	0.2	37	Success
HillmanAxioms	ImpliesMeredithAxioms	PROVED	0.79	45	Success
HillmanAxioms	ImpliesShefferAxioms	TimedOut	30.03	-	-
HillmanAxioms	ImpliesWolframAlternateAxioms	PROVED	0.23	61	Success
HillmanAxioms	ImpliesWolframAxioms	PROVED	0.24	63	Success
HillmanAxioms	ImpliesWolframCommutativeAxioms	PROVED	0.22	55	Success
HillmanAxioms	OrAssociativity	PROVED	0.22	43	Success
HuntingtonAxioms	DoubleNegation	PROVED	0.21	24	Success
HuntingtonAxioms	ImpliesRobbinsAxioms	PROVED	0.2	31	Success
McCuneAxioms	Associativity	PROVED	0.23	65	Success
McCuneAxioms	EqualityOfInverses	PROVED	0.21	45	Success
McCuneAxioms	InverseOfComposite	PROVED	0.21	51	Success
McCuneAxioms	InverseOfInverse	PROVED	0.23	44	Success
MeredithAxioms	AndAssociativity	PROVED	0.47	116	Success
MeredithAxioms	Commutativity	PROVED	0.2	10	Success
MeredithAxioms	ImpliesHillmanAxioms	PROVED	0.42	99	Success
MeredithAxioms	ImpliesShefferAxioms	TimedOut	30.03	-	-
MeredithAxioms	ImpliesWolframAlternateAxioms	PROVED	0.23	64	Success
MeredithAxioms	ImpliesWolframAxioms	PROVED	0.24	72	Success
MeredithAxioms	ImpliesWolframCommutativeAxioms	PROVED	0.23	62	Success
MeredithAxioms	OrAssociativity	PROVED	0.88	95	Success
RingAxioms	ZeroIsAbsorbing	PROVED	0.2	38	Success
RingWithIdentityAxioms	ZeroIsAbsorbing	PROVED	0.21	38	Success
RobbinsAxioms	DoubleNegation	TimedOut	30.09	-	-
ShefferAxioms	AndAssociativity	PROVED	2.01	186	Success
ShefferAxioms	Commutativity	PROVED	0.19	10	Success
ShefferAxioms	ImpliesHillmanAxioms	PROVED	1.94	157	Success
ShefferAxioms	ImpliesMeredithAxioms	PROVED	1.9	114	Success
ShefferAxioms	ImpliesWolframAlternateAxioms	PROVED	0.23	54	Success
ShefferAxioms	ImpliesWolframAxioms	PROVED	0.26	55	Success
ShefferAxioms	ImpliesWolframCommutativeAxioms	PROVED	0.22	43	Success
ShefferAxioms	OrAssociativity	PROVED	2.08	156	Success
WolframAlternateAxioms	AndAssociativity	PROVED	4.27	249	Success
WolframAlternateAxioms	Commutativity	PROVED	0.25	78	Success
WolframAlternateAxioms	DoubleNegation	PROVED	0.21	12	Success
WolframAlternateAxioms	ImpliesHillmanAxioms	PROVED	3.92	238	Success
WolframAlternateAxioms	ImpliesMeredithAxioms	PROVED	4.16	211	Success
WolframAlternateAxioms	ImpliesShefferAxioms	TimedOut	30.06	-	-
WolframAlternateAxioms	ImpliesWolframAxioms	PROVED	0.24	83	Success
WolframAlternateAxioms	ImpliesWolframCommutativeAxioms	PROVED	0.24	83	Success
WolframAlternateAxioms	OrAssociativity	PROVED	4.3	236	Success
WolframAxioms	AndAssociativity	PROVED	7.43	328	Success
WolframAxioms	Commutativity	PROVED	3.42	102	Success
WolframAxioms	DoubleNegation	PROVED	3.22	54	Success
WolframAxioms	ImpliesHillmanAxioms	PROVED	7.43	250	Success
WolframAxioms	ImpliesMeredithAxioms	PROVED	7.56	245	Success
WolframAxioms	ImpliesShefferAxioms	TimedOut	30.05	-	-
WolframAxioms	ImpliesWolframAlternateAxioms	PROVED	3.43	114	Success
WolframAxioms	ImpliesWolframCommutativeAxioms	PROVED	3.43	108	Success
WolframAxioms	OrAssociativity	PROVED	7.68	274	Success
WolframCommutativeAxioms	AndAssociativity	PROVED	4.17	193	Success
WolframCommutativeAxioms	Commutativity	PROVED	0.2	3	Success
WolframCommutativeAxioms	DoubleNegation	PROVED	0.2	8	Success
WolframCommutativeAxioms	ImpliesHillmanAxioms	PROVED	4.31	165	Success
WolframCommutativeAxioms	ImpliesMeredithAxioms	PROVED	4.33	152	Success
WolframCommutativeAxioms	ImpliesShefferAxioms	PROVED	26.5	179	Success
WolframCommutativeAxioms	ImpliesWolframAlternateAxioms	PROVED	0.2	18	Success
WolframCommutativeAxioms	ImpliesWolframAxioms	PROVED	0.2	12	Success
WolframCommutativeAxioms	OrAssociativity	PROVED	4.43	199	Success
