theory_theorem	wm_rules	wm_equations	wm_cps	wm_wall_s
AbelianGroupAxioms__ImpliesAbelianMcCuneAxioms	11	1	70	0.001
AbelianGroupAxioms__ImpliesMcCuneAxioms	21	1	367	0.001
AbelianGroupAxioms__InverseOfComposite	12	1	87	0.001
AbelianGroupAxioms__InverseOfInverse	7	1	26	0.000
AbelianMcCuneAxioms__Associativity	44	4	1738	0.002
AbelianMcCuneAxioms__Commutativity	14	1	190	0.001
AbelianMcCuneAxioms__ImpliesMcCuneAxioms	37	3	1033	0.001
AbelianMcCuneAxioms__InverseOfComposite	18	1	233	0.001
AbelianMcCuneAxioms__InverseOfInverse	10	0	114	0.000
AbelianTarskiAxioms__Associativity	14	1	344	0.001
AbelianTarskiAxioms__Commutativity	15	2	410	0.001
AbelianTarskiAxioms__ImpliesHigmanNeumannAxioms	5	0	34	0.000
BooleanAxioms__Absorption	44	6	1074	0.001
BooleanAxioms__AbsorptionOrAnd	43	6	1016	0.001
BooleanAxioms__AndAssociativity	135	7	11491	0.006
BooleanAxioms__AndCommutativity	4	2	21	0.000
BooleanAxioms__AndDistributivity	4	1	13	0.000
BooleanAxioms__AndIdempotence	13	2	94	0.000
BooleanAxioms__AndPreAssociativity	26	2	267	0.001
BooleanAxioms__DeMorgan__c1	192	8	20843	0.010
BooleanAxioms__DeMorgan__c2	188	8	20482	0.010
BooleanAxioms__DoubleNegation	23	2	222	0.001
BooleanAxioms__DroppingAlwaysFalse	1	0	6	0.000
BooleanAxioms__DroppingAlwaysTrue	1	0	6	0.000
BooleanAxioms__ExcludedMiddle	31	3	409	0.001
BooleanAxioms__ImpliesHuntingtonAxioms__c1	4	2	21	0.000
BooleanAxioms__ImpliesHuntingtonAxioms__c2	136	7	11533	0.006
BooleanAxioms__ImpliesHuntingtonAxioms__c3	189	8	20524	0.010
BooleanAxioms__ImpliesRobbinsAxioms__c1	4	2	21	0.000
BooleanAxioms__ImpliesRobbinsAxioms__c2	136	7	11533	0.006
BooleanAxioms__ImpliesRobbinsAxioms__c3	189	8	20524	0.010
BooleanAxioms__NegationRedundancy	7	2	40	0.000
BooleanAxioms__Noncontradiction	32	3	421	0.001
BooleanAxioms__OrAssociativity	136	7	11533	0.006
BooleanAxioms__OrCommutativity	4	2	21	0.000
BooleanAxioms__OrDistributivity	4	1	13	0.000
BooleanAxioms__OrIdempotence	12	2	82	0.000
BooleanAxioms__Transposition	23	2	222	0.001
CombinatorAxioms__BCKWToSKI__c1	5	2	32	0.001
CombinatorAxioms__BCKWToSKI__c2	71	8	636	0.002
CombinatorAxioms__BCKWToSKI__c3	5	2	32	0.001
CombinatorAxioms__SKIToBCKW__c1	9377	116	1361578	7.656
CombinatorAxioms__SKIToBCKW__c2	7473	102	903810	4.911
CombinatorAxioms__SKIToBCKW__c3	7	2	69	0.001
CommutativeRingAxioms__ZeroIsAbsorbing	54	14	2523	0.003
CommutativeRingWithIdentityAxioms__MinusOneYieldsInverse	57	15	2812	0.003
CommutativeRingWithIdentityAxioms__ZeroIsAbsorbing	49	14	2428	0.002
GroupAxioms__ImpliesMcCuneAxioms	22	0	224	0.001
GroupAxioms__InverseOfComposite	16	0	95	0.001
GroupAxioms__InverseOfInverse	10	0	41	0.001
GroupAxioms__LeftIdentity	9	0	34	0.000
GroupAxioms__LeftInverse	12	0	48	0.000
HigmanNeumannAxioms__Associativity	21	3	900	0.001
HigmanNeumannAxioms__EqualityOfIdentities	8	2	251	0.001
HigmanNeumannAxioms__LeftIdentity	8	2	251	0.001
HigmanNeumannAxioms__RightIdentity	6	2	186	0.001
HillmanAxioms__Commutativity	33	6	2119	0.002
HuntingtonAxioms__DoubleNegation	32	7	1555	0.002
HuntingtonAxioms__ImpliesRobbinsAxioms__c1	1	1	5	0.000
HuntingtonAxioms__ImpliesRobbinsAxioms__c2	2	1	8	0.001
HuntingtonAxioms__ImpliesRobbinsAxioms__c3	33	7	1597	0.002
McCuneAxioms__Associativity	50	9	2202	0.002
McCuneAxioms__EqualityOfInverses	44	9	1943	0.002
McCuneAxioms__InverseOfComposite	41	8	1843	0.002
McCuneAxioms__InverseOfInverse	33	8	1695	0.002
MeredithAxioms__AndAssociativity	409	39	603793	0.525
MeredithAxioms__Commutativity	4	2	57	0.001
MeredithAxioms__OrAssociativity	409	39	603793	0.525
RingAxioms__ZeroIsAbsorbing	48	6	1960	0.002
RingWithIdentityAxioms__ZeroIsAbsorbing	53	7	2141	0.002
RobbinsAxioms__DoubleNegation	FAIL	-	-	-
WolframAxioms__AndAssociativity	1601	74	3750287	5.805
WolframAxioms__Commutativity	661	9	738928	2.352
WolframAxioms__DoubleNegation	614	8	713503	2.319
WolframAxioms__OrAssociativity	1601	74	3750287	5.838
